zip,year,no.drug.arrests.14.17,no.ems.calls.14.17,Total.Population,Total.Population.Over18,proportionWhite,proportionNonWhite
10301,2014,370,566,39367,29857,0.4036883684304113,0.5963116315695888
10301,2015,348,776,39209,29860,0.4090897498023413,0.5909102501976587
10301,2016,546,980,39519,30091,0.39920038462511703,0.600799615374883
10301,2017,489,1000,39451,30514,0.41631390839268967,0.5836860916073103
10302,2014,404,205,18043,13428,0.32716288865488,0.67283711134512
10302,2015,246,215,18286,13514,0.30580772175434756,0.6941922782456524
10302,2016,238,263,17758,13564,0.3282464241468634,0.6717535758531367
10302,2017,154,224,18539,14351,0.332488267975619,0.6675117320243811
10303,2014,326,165,24348,17721,0.1825611959914572,0.8174388040085427
10303,2015,215,177,23933,17514,0.1793339740107801,0.8206660259892199
10303,2016,172,219,24562,18053,0.18691474635615993,0.8130852536438401
10303,2017,137,212,25804,18507,0.19194698496357154,0.8080530150364285
10304,2014,388,283,41864,31522,0.3427049493598318,0.6572950506401681
10304,2015,223,397,42244,31490,0.3523103872739324,0.6476896127260676
10304,2016,359,529,42054,31914,0.36236743234888474,0.6376325676511152
10304,2017,388,460,41884,32419,0.3681119281825996,0.6318880718174005
10305,2014,253,262,41471,32881,0.6822840056907237,0.3177159943092764
10305,2015,141,283,41795,32849,0.66285440842206,0.33714559157793994
10305,2016,205,374,41533,32891,0.6537452146485927,0.3462547853514073
10305,2017,173,323,42311,33281,0.6285126799177518,0.3714873200822481
10306,2014,285,342,54888,42997,0.7789316426176942,0.2210683573823058
10306,2015,150,358,54939,43804,0.7729845829010357,0.2270154170989643
10306,2016,131,394,55031,43821,0.7811597099816467,0.21884029001835328
10306,2017,118,368,54021,43242,0.7521334295921956,0.24786657040780438
10307,2014,41,40,15006,11106,0.8670531787285086,0.1329468212714914
10307,2015,62,60,15098,11329,0.8789905947807657,0.12100940521923434
10307,2016,54,63,15275,11571,0.8798690671031096,0.12013093289689035
10307,2017,60,45,15528,11415,0.8694616177228233,0.1305383822771767
10308,2014,58,100,29805,24053,0.8464687133031371,0.15353128669686295
10308,2015,42,87,29766,24291,0.8640731035409528,0.13592689645904724
10308,2016,34,120,30347,24279,0.8407750354236003,0.15922496457639965
10308,2017,45,114,30024,24123,0.8277378097521982,0.17226219024780176
10309,2014,206,119,33382,25371,0.8297585525133305,0.17024144748666947
10309,2015,162,162,33185,25172,0.8180503239415399,0.18194967605846016
10309,2016,169,186,33459,25493,0.8236946710899907,0.17630532891000927
10309,2017,125,137,33660,26033,0.8649435531788473,0.1350564468211527
10310,2014,174,154,24719,18193,0.39548525425785835,0.6045147457421417
10310,2015,129,201,24394,18000,0.4082151348692301,0.5917848651307699
10310,2016,132,211,24250,17884,0.39348453608247425,0.6065154639175258
10310,2017,148,201,23708,17595,0.40893369326809514,0.5910663067319049
10312,2014,218,143,61105,48060,0.8423369609688242,0.15766303903117584
10312,2015,209,171,62032,48802,0.8302489037915914,0.16975109620840856
10312,2016,191,186,60951,47720,0.8328001181276763,0.16719988187232368
10312,2017,151,176,61058,47800,0.8244619869632153,0.1755380130367847
10314,2014,465,225,87524,69171,0.6779169142178145,0.3220830857821855
10314,2015,248,285,87600,69493,0.6646575342465754,0.33534246575342463
10314,2016,276,338,88585,70215,0.6541288028447254,0.3458711971552746
10314,2017,156,342,89960,71346,0.6428523788350378,0.3571476211649622
